# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
irony	n. 肢，臂；分支；枝干vt. 切断…的手足；从…上截下树枝n.(Limb)人名；(朝)林；(英)利姆
irrespective	n. 限制；限度；界线vt. 限制；限定
irrigation	n. 限制；限度；极限；追诉时效；有效期限；缺陷
irritate	adj. 有限的n. 高级快车
island	adj. 柔软的，无力的；软弱的vi. 跛行，一拐一拐地走；缓慢费力地前进n. 跛行n. (Limp)人名；(英)林普
isolate	n. 路线，航线；排；绳vt. 排成一行；划线于；以线条标示；使…起皱纹vi. 排队；站成一排n. (Line)人名；(英)莱恩；(俄)利涅
issue	adj. 线的，线型的；直线的，线状的；长度的2865287628862892
it	n. 亚麻布，亚麻线；亚麻制品adj. 亚麻的；亚麻布制的n. (Linen)利嫩（人名）
Italian	n. 班轮，班机；衬垫；画线者
Italy	vi. 徘徊；苟延残喘；磨蹭vt. 消磨；缓慢度过n. (Linger)人名；(德、捷、瑞典)林格；(法)兰热n.链环,连结物,火把,链接vt.连结,联合,挽vi.连接起来
item	n. 狮子；名人；勇猛的人；社交场合的名流n. (Lion)人名；(西、葡)利昂；(德、法、意、捷、瑞典)利翁；(英)莱昂
its	n. 嘴唇；边缘vt. 以嘴唇碰adj. 口头上的vi. 用嘴唇n. (Lip)人名；(法)利普；(中)猎(广东话·威妥玛)；(柬)利；(东南亚国家华语)立
itself	adj. 液体的；清澈的；明亮的；易变的n. 液体，流体；流音
ivory	n. 酒，含酒精饮料；溶液；液体；烈酒vi. 喝酒，灌酒vt. 使喝醉n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上
jail	n. 听者，认真倾听的人；收听广播节目的人
jam	n. [计量] 公升（容量单位）n. (Liter)人名；(英)利特
January	n. 读写能力；精通文学
Japan	adj. 文字的；逐字的；无夸张的
Japanese	adj. 文学的；书面的；精通文学的
jar	n. 文学；文献；文艺；著作
jaw	n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱vt. 乱丢；给…垫褥草；把…弄得乱七八糟vi. 产仔；乱扔废弃物n. (Litter)人名；(匈、德)利特
jealous	adj. 活泼的；生动的；真实的；生气勃勃的n. (Lively)人名；(英)莱夫利
jeopardize	n. 肝脏；生活者，居民n.生活,生计,生存空间,居住面积adj.活的,起作用的,逼真的,现存的
jet	n. 条，一条面包；块；游荡vt. 游荡；游手好闲；虚度光阴vi. 游荡；游手好闲；虚度光阴
jew	n. 贷款；借款vi. 借出vt. 借；借给
jewel	n. 大厅；休息室；会客室；游说议员的团体vt. 对……进行游说vi.游说议员
jewish	adj. 当地的，地方性的；局部的；局域的；本地通话的；（火车）慢车的n. 当地人；附近的小酒馆；慢车；当地的分支机构；炒股散户；本地新闻；局部
join	vt. 位于；查找…的地点vi. 定位；定居
joke	n. 机车；火车头；（学校啦啦队）节奏由慢到快的欢呼adj. 产生动力的，与动力有关的；运动的，移动的n.门房,(猎人住的)山林小屋,(游览区的)旅馆,(地方社团的)集会处vi.临时住宿,寄宿(某人家)vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)290129092917
jolly	n. 阁楼；顶楼；鸽房vt. 把…储放在阁楼内vi. 将球高击n. (Loft)人名；(丹)洛夫特
journal	adj. 高的；崇高的；高级的；高傲的n. (Lofty)人名；(英)洛夫蒂n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段
journalist	n. 逻辑；逻辑学；逻辑性
journey	adj. 合逻辑的，合理的；逻辑学的
joy	adj. 寂寞的；偏僻的n. 孤独者adj.长的,长期的,做多头的,高的vi.渴望,热望adv.长期地,始终n.长时间,(市场上)做多头的人,[语音]长音节
joyful	n. [地理] 经度；经线
judgement	n. 看；样子；面容n. (Look)人名；(瑞典)洛克；(英)卢克n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行vt.使成环,以圈结,以环连结vi.打环,翻筋斗n.循环n.解放,放任,放纵adj.宽松的,不精确的,不牢固的,散漫的,自由的vt.释放,放枪,开船vi.变松,开火adv.松散地
juice	vt. 放松；松开vi. 放松；松开n. (Loosen)人名；(德)洛森
July	n. 主；上帝int. 主，天啊vt. 使成贵族vi. 作威作福，称王称霸n.(Lord)人名；(瑞典)洛德；(法)洛尔
jump	n. （英）卡车；[车辆] 货车；运料车n. (Lorry)人名；(法、德)洛里
junction	vt. 浪费；使沉溺于；使迷路；遗失；错过vi. 失败；受损失n.(Lose)人名；(英)洛斯；(德)洛泽
June	n. 减少；亏损；失败；遗失n. (Loss)人名；(匈)洛什；(法、德、意)洛斯
jungle	n. 所有；（一）群，（一）批；待售物品；场地；份额；许多；命运；阄adv. 很，非常pron. 大量，许多；所有vt. 分组，把……划分
junior	adj. 大声的，高声的；不断的；喧吵的adv. 大声地，高声地，响亮地n. (Loud)人名；(英)劳德
jury	adv. 大声地，响亮地
just	n. 喇叭，扬声器；扩音器
justice	n. 休息室；闲逛；躺椅；（英）酒吧间vi. 闲逛；懒洋洋地躺卧；闲混vt. 虚度光阴n.爱,热爱,爱情,爱好,性爱,情人,零vt.爱,热爱,爱好,爱慕vi.爱
justification	adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的n. 美女；可爱的东西
justify	n. 爱人，恋人；爱好者；情人n. (Lover)（英）洛弗（人名）
keen	adj. 低的，浅的；卑贱的；粗俗的；消沉的adv. 低声地；谦卑地，低下地n. 低；低价；低点；牛叫声vi. 牛叫n. （Low）（英、德）洛（人名）adj.较低的,下级的,下等的,下游的vi.降低,跌落,减弱vt.放下,降下,减弱,贬低
keep	adj. 忠诚的，忠心的；忠贞的n. 效忠的臣民；忠实信徒n. (Loyal)人名；(英、德、西、匈、法)洛亚尔
keeper	n. 忠诚；忠心；忠实；忠于…感情
kettle	vi. 润滑；涂油；起润滑剂作用vt. 使…润滑；给…加润滑油
keyboard	adj. 幸运的；侥幸的2927
kick	n. 行李；皮箱n.美木材,无用的杂物(如破旧家俱),废物,隆隆声vt.砍伐木材,乱堆vi.伐木,喧闹地向前走,笨重地行动
kid	adj. 发光的；明亮的；清楚的
kidney	n. 块，块状；肿块；瘤；很多；笨人vt. 混在一起；使成块状；忍耐；笨重地移动vi. 结块adj. 成团的；总共的adv. 很；非常
kill	adj. 月亮的，月球的；阴历的；银的；微亮的n. (Lunar)人名；(西)卢纳尔
kilogram	n. 午餐vt. 吃午餐；供给午餐vi. 吃午餐；供给午餐
kilometer	n. 肺；呼吸器n. (Lung)人名；(越)珑；(罗、塞、匈、瑞典、德)伦格
kind	n. 奢侈，奢华；奢侈品；享受adj. 奢侈的
kindness	n. 机械，机器；机构；机械般工作的人vt. 用机器制造n.（Machine）（意）马基内（人名）adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒
king	n. 夫人；女士；鸨母
kingdom	n. 杂志；弹药库；胶卷盒n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的
kiss	n. 磁铁；[电磁] 磁体；磁石n. (Magnet)人名；(塞)马格内特；(西)马涅特；(法)马涅
kitchen	adj. 高尚的；壮丽的；华丽的；宏伟的
knee	n. 大小；量级；[地震] 震级；重要；光度
kneel	n. 女仆；少女vt. 侍候；做新娘的女傧相vi. 当女仆
knife	n. 邮件；邮政，邮递；盔甲vt. 邮寄；给…穿盔甲vi. 邮寄；寄出n.(Mail)人名；(法)马伊n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组
knit	n. 大陆；本土adj. 大陆的；本土的n. (Mainland)人名；(英)梅因兰
knob	adv. 主要地，大体上
knock	vt. 维持；继续；维修；主张；供养
knot	n. 维护，维修；保持；生活费用
know	n. 威严；最高权威，王权；雄伟；权威n.美[教]主修课,[律]成年人,[乐]大调adj.主修的,成年的,大调的vi.主修
knowledge	n. 多数；成年vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情
lab	adj. 男性的；雄性的n. 男人；雄性动物n. （Male）（柬）马尔；（意、西、塞）马莱；（英）梅尔（人名）
label	n. 商场，购物广场；步行商业区；步行道；铁圈球球场n. (Mall)（美、瑞）迈勒（人名）n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网
labor	vt. 管理；经营；控制；设法vi. 处理；应付过去
laboratory	n. 管理；管理人员；管理部门；操纵；经营手段
labour	n. 经理；管理人员n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明
lace	vt. 操纵；操作；巧妙地处理；篡改
lack	n. 人类；男性
ladder	adj. 男子气概的；强壮的；适于男人的adv. 雄赳赳地n. （Manly）（英）曼利（人名）
lady	n. 方式；习惯；种类；规矩；风俗n. (Manner)人名；(德、芬、瑞典)曼纳n.[亦作maneuvre] 策略,调动v.用策略,调动,演习,(敏捷地)操纵29702972
lake	n. 制造；产品；制造业vt. 制造；加工；捏造vi. 制造
lamb	n. 制造商；[经] 厂商
lame	n. [图情] 手稿；原稿adj. 手写的
lamp	det. 许多pron. 许多；许多人adj. 许多的n. 大多数人n. (Many)（美、法、加、印）马尼（人名）n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等
land	n. 大理石；大理石制品；弹珠adj. 大理石的；冷酷无情的n.(Marble)人名；(英)马布尔
landing	vi. （坚定地向某地）前进；行军，进军；游行示威；进展，进行vt.使前进；使行军n. 行进，前进；行军；游行示威；进行曲
landlady	n. 边缘；利润，余裕；页边的空白vt. 加边于；加旁注于n.(Margin)人名；(俄、意)马尔金
landlord	adj. 微不足道的，不重要的；边缘的；临界的；末端的n. 边缘席位2975
landscape	adj. 船舶的；海生的；海产的；航海的，海运的n. 海运业；舰队；水兵；（海军）士兵或军官n. (Marine)人名；(西)马里内；(英)马林
language	n. （Mark）马克（人名）
lantern	n. 市场；行情；股票市场；市面；集市；销路；商店vt. 在市场上出售vi. 做买卖n. (Market)人名；(塞)马尔凯特
large	adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的n. 已婚者v.结婚，与…结婚（marry的过去式）
largely	vt. 嫁；娶；与……结婚vi. 结婚n. (Marry)人名；(阿拉伯)马雷；(法)马里
laser	n. 沼泽；湿地adj. 沼泽的；生长在沼泽地的n. (Marsh)人名；(俄)马尔什；(英、瑞典)马什
last	n. 元帅；司仪vt. 整理；引领；编列vi. 排列n. (Marshal)人名；(英)马歇尔
late	adj. 了不起的；非凡的；令人惊异的；不平常的马克思主义
lately	n. 马克思主义者adj. 马克思主义的
latent	adj. 男性的；阳性的；男子气概的n. 男性；阳性，阳性词
later	n. 面具；口罩；掩饰；[计] 掩膜vi. 掩饰；戴面具；化装vt. 掩饰；戴面具；使模糊
latitude	adj. 大量的；巨大的，厚重的；魁伟的n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,称呼少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通
latter	n. 杰作；绝无仅有的人n.席子,垫子v.铺席子n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的
laugh	n. 唯物主义；唯物论；物质主义
laughter	adj. 数学的，数学上的；精确的
launch	n. 数学；数学运算
laundry	n. 数学（等于mathematics）n. (Maths)人名；(瑞典)马茨
lavatory	n. 物质；事件vi. 有关系；要紧n. (Matter)人名；(英、法)马特；(西)马特尔
law	adj. 成熟的；充分考虑的；到期的；成年人的vi. 成熟；到期vt. 使…成熟；使…长成；慎重作出
lawn	n. [数] 极大，最大限度；最大量adj. 最高的；最多的；最大极限的
lawyer	aux. 可以，能够；可能，也许；祝，愿；会，能
lay	adv. 也许；可能；大概n. 可能性；不确定性
layer	n. 市长n. (Mayor)人名；(英)梅厄；(法、西、俄)马约尔
layman	pron. 我（宾格）n. 自我；极端自私的人；自我的一部分n. (Me)人名；(日)马(姓)；(朝)袂；(阿拉伯、柬、老)梅
layout	n. 草地；牧场n. (Meadow)人名；(英)梅多
lazy	n. 一餐，一顿饭；膳食vi. 进餐adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸
lead	n. 意义；含义；意图adj. 意味深长的v. 意味；意思是（mean的ing形式）
leader	n. 手段；方法；财产vt. 用意；意味着；预示；意义重大（mean 的第三人称单数）vi. 意欲（mean 的第三人称单数）
leadership	n. 其时，其间adv. 同时；其间
leading	adv. 同时，其间n. 其间，其时
leaf	adj. 可测量的；重要的；重大的
leaflet	n. 测量；措施；程度；尺寸vt. 测量；估量；权衡vi. 测量；估量
league	n. 测量；[计量] 度量；尺寸；量度制
leak	n. 肉，肉类（食用）
lean	n. 技工，机修工adj. 手工的n. (Mechanic)人名；(英)梅凯尼克
leap	adj. 机械的；力学的；呆板的；无意识的；手工操作的
learn	adv. 机械地；呆板地；物理上地
learned	n. 力学（用作单数）；结构；技术；机械学（用作单数）
learning	n. 机制；原理，途径；进程；机械装置；技巧
lease	n. 勋章，奖章；纪念章n. (Medal)人名；(西、捷)梅达尔
least	n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
leather	vi. 调解；斡旋；居中vt. 调停；传达adj. 间接的；居间的
leave	adj. 医学的；药的；内科的n. 医生；体格检查
lecture	n. 药；医学；内科；巫术vt. 用药物治疗；给…用药
left	adj. 中世纪的；原始的；仿中世纪的；老式的
leg	n. 地中海adj. 地中海的
legal	adj. 中间的，中等的；半生熟的；（投球）中速的n. 方法；媒体；媒介；中间物；溶剂；灵媒；中庸
legend	vt. 满足；遇见；对付vi. 相遇；接触n. 集会adj. 合适的；适宜的
legislation	n. (Meet)人名；(英)米特3054
legitimate	n. 会议；会见；集会；汇合点v. 会面；会合（meet 的现在分词）
leisure	n. 旋律；歌曲；美妙的音乐n. (Melody)人名；(英)梅洛迪
lemon	n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西n. (Melon)人名；(意、西、葡)梅隆
lend	vi. 熔化，溶解；渐混vt. 使融化；使熔化；使软化；使感动n. 熔化；熔化物
length	n. 成员；会员；议员
lens	n. 资格；成员资格；会员身份
less	n. 纪念碑，纪念馆；纪念仪式；纪念物adj. 记忆的；纪念的，追悼的
